Country	Single	Multiple	Total
Vietnam	2 (0.004166666666666667)	3 (0.00625)	480
USA	8 (0.010126582278481013)	6 (0.007594936708860759)	790
Ukraine	1 (0.0018115942028985507)	3 (0.005434782608695652)	552
Turkey	33 (0.0014842133669155347)	22 (0.00098947557794369)	22234
Syria	13 (0.02748414376321353)	0 (0.0)	473
Switzerland	5 (0.013440860215053764)	1 (0.002688172043010753)	372
SriLanka	6 (0.003955174686882004)	1 (0.0006591957811470006)	1517
Spain	16 (0.018433179723502304)	3 (0.0034562211981566822)	868
Serbia	6 (0.00851063829787234)	4 (0.005673758865248227)	705
Russia	20 (0.004344048653344918)	6 (0.0013032145960034753)	4604
Romania	9 (0.007594936708860759)	3 (0.002531645569620253)	1185
Portugal	7 (0.005577689243027889)	4 (0.0031872509960159364)	1255
Poland	16 (0.002866869736606343)	9 (0.001612614226841068)	5581
OtherEthnicities	30 (0.004196978175713486)	16 (0.002238388360380526)	7148
Netherlands	6 (0.006718924972004479)	4 (0.004479283314669653)	893
Morocco	4 (0.01092896174863388)	2 (0.00546448087431694)	366
Lebanon	5 (0.01358695652173913)	2 (0.005434782608695652)	368
Kosovo	2 (0.003527336860670194)	1 (0.001763668430335097)	567
Kazakhstan	7 (0.005035971223021582)	6 (0.004316546762589928)	1390
Italy	11 (0.002938034188034188)	15 (0.004006410256410256)	3744
Iran	9 (0.010146561443066516)	4 (0.004509582863585118)	887
India	5 (0.015015015015015015)	2 (0.006006006006006006)	333
Hungary	8 (0.01098901098901099)	0 (0.0)	728
Greece	15 (0.006331785563528915)	9 (0.003799071338117349)	2369
GreatBritain	7 (0.011075949367088608)	0 (0.0)	632
Germany_part1	149 (0.00035402855988785135)	112 (0.00026611542756670707)	420870
France	5 (0.006775067750677507)	5 (0.006775067750677507)	738
Czech	8 (0.01532567049808429)	1 (0.0019157088122605363)	522
Croatia	8 (0.004889975550122249)	4 (0.0024449877750611247)	1636
Burundi	5 (0.014705882352941176)	0 (0.0)	340
Brazil	6 (0.01948051948051948)	1 (0.003246753246753247)	308
Bosnia-Herzegovina	3 (0.003708281829419036)	2 (0.002472187886279357)	809
Austria	10 (0.00816326530612245)	1 (0.0008163265306122449)	1225
Albania	0 (0.0)	1 (0.002638522427440633)	379
Afghanistan	3 (0.006622516556291391)	2 (0.004415011037527594)	453
