Country	Single	Multiple	Total
Afghanistan	3 (0.006622516556291391)	2 (0.004415011037527594)	453
Albania	3 (0.0079155672823219)	3 (0.0079155672823219)	379
Austria	11 (0.008979591836734694)	5 (0.004081632653061225)	1225
Bosnia-Herzegovina	12 (0.014833127317676144)	7 (0.00865265760197775)	809
Brazil	15 (0.048701298701298704)	9 (0.02922077922077922)	308
Burundi	13 (0.03823529411764706)	11 (0.03235294117647059)	340
Croatia	17 (0.01039119804400978)	12 (0.007334963325183374)	1636
Czech	23 (0.044061302681992334)	11 (0.0210727969348659)	522
France	24 (0.032520325203252036)	14 (0.018970189701897018)	738
Germany_part1	151 (0.0003587806210943997)	112 (0.00026611542756670707)	420870
GreatBritain	151 (0.2389240506329114)	112 (0.17721518987341772)	632
Greece	150 (0.06331785563528915)	112 (0.047277332207682564)	2369
Hungary	150 (0.20604395604395603)	112 (0.15384615384615385)	728
India	152 (0.45645645645645644)	112 (0.33633633633633636)	333
Iran	150 (0.16910935738444194)	114 (0.12852311161217586)	887
Italy	154 (0.04113247863247863)	112 (0.029914529914529916)	3744
Kazakhstan	153 (0.11007194244604317)	113 (0.08129496402877698)	1390
Kosovo	153 (0.2698412698412698)	113 (0.19929453262786595)	567
Lebanon	153 (0.4157608695652174)	113 (0.3070652173913043)	368
Morocco	153 (0.4180327868852459)	113 (0.3087431693989071)	366
Netherlands	152 (0.1702127659574468)	114 (0.1276595744680851)	893
OtherEthnicities	153 (0.02140458869613878)	117 (0.016368214885282596)	7148
Poland	155 (0.027772800573373946)	118 (0.02114316430747178)	5581
Portugal	154 (0.12270916334661354)	119 (0.09482071713147411)	1255
Romania	154 (0.12995780590717299)	119 (0.10042194092827005)	1185
Russia	152 (0.03301476976542137)	121 (0.026281494352736752)	4604
Serbia	153 (0.2170212765957447)	121 (0.17163120567375886)	705
Spain	151 (0.173963133640553)	123 (0.14170506912442396)	868
SriLanka	150 (0.09887936717205009)	125 (0.08239947264337508)	1517
Switzerland	150 (0.4032258064516129)	125 (0.33602150537634407)	372
Syria	150 (0.3171247357293869)	126 (0.266384778012685)	473
Turkey	154 (0.006926329045605829)	130 (0.005846901142394531)	22234
Ukraine	154 (0.27898550724637683)	130 (0.23550724637681159)	552
USA	153 (0.19367088607594937)	132 (0.1670886075949367)	790
Vietnam	154 (0.32083333333333336)	132 (0.275)	480
